,N,Q_1 [lb/h],proportion_%
/record_39,2548,129,5.062794348508634
/record_390,2546,1,0.03927729772191674
/record_391,2189,51,2.3298309730470534
/record_392,1873,55,2.936465563267485
/record_393,2832,198,6.991525423728813
/record_394,3420,26,0.7602339181286549
/record_395,1246,40,3.210272873194221
/record_396,1165,68,5.836909871244635
/record_397,3199,7,0.2188183807439825
/record_398,2859,44,1.5389996502273522
/record_399,3803,70,1.8406521167499343
/record_40,3340,61,1.8263473053892216
/record_400,998,0,0.0
/record_401,1792,8,0.4464285714285714
/record_402,1943,30,1.5440041173443129
/record_403,2857,25,0.8750437521876094
/record_404,2471,1,0.04046944556859571
/record_405,4199,39,0.9287925696594427
/record_406,4208,58,1.3783269961977187
/record_407,2123,4,0.18841262364578426
/record_408,706,0,0.0
/record_409,2291,19,0.8293321693583587
/record_41,3244,98,3.020961775585697
/record_410,2264,14,0.6183745583038869
/record_411,1927,87,4.514789828749351
/record_412,2009,0,0.0
/record_413,4523,8,0.17687375635640062
/record_414,4849,19,0.3918333677046814
/record_415,4482,15,0.33467202141900937
/record_416,2415,29,1.2008281573498965
/record_417,1636,65,3.973105134474328
/record_418,1391,2,0.14378145219266716
/record_419,1802,79,4.384017758046615
/record_42,3508,61,1.7388825541619155
/record_420,2161,3,0.13882461823229986
/record_421,762,1,0.13123359580052493
/record_422,3955,7,0.17699115044247787
/record_423,4038,7,0.1733531451213472
/record_424,4158,16,0.3848003848003848
/record_425,4252,16,0.37629350893697083
/record_426,1695,13,0.7669616519174041
/record_427,2191,31,1.4148790506617983
/record_428,2381,2,0.08399832003359933
/record_429,2928,11,0.3756830601092896
/record_43,2750,59,2.1454545454545455
/record_430,2269,1,0.044072278536800354
/record_431,1751,39,2.227298686464877
/record_432,2673,3,0.11223344556677892
/record_433,1889,4,0.21175224986765487
/record_434,1477,0,0.0
/record_435,1514,32,2.1136063408190227
/record_436,2693,33,1.2253991830672113
/record_437,2197,4,0.18206645425580337
/record_438,735,2,0.27210884353741494
/record_44,2341,38,1.6232379325074753
/record_440,1395,7,0.5017921146953405
/record_441,1970,0,0.0
/record_442,2438,69,2.8301886792452833
/record_443,2384,8,0.33557046979865773
/record_444,2804,12,0.42796005706134094
/record_445,3015,32,1.0613598673300166
/record_446,2760,4,0.14492753623188406
/record_447,3298,0,0.0
/record_448,3665,38,1.0368349249658937
/record_449,4372,31,0.7090576395242452
