,N,Q_1 [lb/h],proportion_%
/record_666,4838,106,2.190988011575031
/record_667,2468,9,0.3646677471636953
/record_668,1160,29,2.5
/record_669,1096,40,3.64963503649635
/record_67,1106,29,2.6220614828209765
/record_670,2189,61,2.7866605756052993
/record_671,2614,21,0.8033664881407804
/record_672,2148,27,1.2569832402234637
/record_673,2214,24,1.084010840108401
/record_674,1884,10,0.5307855626326964
/record_675,2013,47,2.334823646299056
/record_676,3373,10,0.29647198339756897
/record_677,4785,18,0.3761755485893417
/record_678,424,20,4.716981132075472
/record_679,1903,27,1.418812401471361
/record_68,2742,9,0.3282275711159737
/record_680,3885,24,0.6177606177606177
/record_681,3638,17,0.46728971962616817
/record_682,3633,42,1.1560693641618496
/record_683,807,3,0.37174721189591076
/record_684,3315,29,0.8748114630467572
/record_685,4201,7,0.16662699357295882
/record_686,3804,91,2.392218717139853
/record_687,3716,11,0.2960172228202368
/record_688,2154,11,0.510677808727948
/record_689,702,49,6.98005698005698
/record_69,2412,16,0.6633499170812603
/record_690,1648,23,1.3956310679611652
/record_691,1628,60,3.6855036855036856
/record_692,1699,85,5.002942907592701
/record_693,1109,80,7.21370604147881
/record_694,4362,5,0.11462631820265932
/record_695,3862,29,0.7509062661833248
/record_696,2668,4,0.14992503748125938
/record_697,3825,77,2.0130718954248366
/record_698,1705,4,0.23460410557184752
/record_699,2602,61,2.3443504996156803
/record_70,1359,10,0.7358351729212657
/record_700,1956,2,0.10224948875255625
/record_701,2076,1,0.04816955684007707
/record_703,1752,6,0.3424657534246575
/record_704,1532,1,0.06527415143603134
/record_705,1447,0,0.0
/record_706,1217,0,0.0
/record_707,1125,0,0.0
/record_708,1721,2,0.11621150493898895
/record_709,1766,0,0.0
/record_71,1371,47,3.4281546316557256
/record_710,1725,1,0.057971014492753624
/record_711,1748,0,0.0
/record_712,3826,0,0.0
/record_713,4187,0,0.0
/record_714,1702,0,0.0
/record_715,1716,0,0.0
/record_716,2558,1,0.039093041438623924
/record_717,2344,58,2.474402730375427
/record_718,1165,1,0.08583690987124463
/record_719,2816,0,0.0
/record_72,2892,39,1.3485477178423237
/record_720,3331,0,0.0
/record_721,4225,0,0.0
/record_722,2661,2,0.0751597143930853
/record_723,3325,44,1.3233082706766919
/record_724,1958,3,0.15321756894790603
/record_725,1903,0,0.0
/record_726,7874,26,0.3302006604013208
/record_727,4131,0,0.0
/record_728,2036,14,0.68762278978389
/record_729,2501,26,1.0395841663334666
/record_73,3940,22,0.5583756345177665
/record_730,2514,9,0.35799522673031026
/record_731,2448,38,1.5522875816993464
/record_732,1756,21,1.1958997722095672
/record_733,1794,21,1.1705685618729096
/record_734,1290,38,2.945736434108527
/record_735,2331,30,1.287001287001287
/record_736,2250,21,0.9333333333333335
/record_737,2200,4,0.18181818181818182
/record_738,1087,4,0.36798528058877644
/record_739,1356,1,0.07374631268436578
/record_74,3380,131,3.8757396449704142
/record_740,2455,0,0.0
/record_741,1957,3,0.1532958610117527
/record_742,2233,12,0.5373936408419167
/record_743,3005,9,0.2995008319467554
/record_744,3182,43,1.3513513513513513
/record_745,2410,10,0.4149377593360996
/record_746,3198,7,0.2188868042526579
/record_747,1082,10,0.9242144177449169
/record_748,3358,3,0.08933889219773675
/record_749,2098,0,0.0
/record_75,4229,26,0.6148025537952234
/record_750,3111,32,1.0286081645773062
/record_751,1550,3,0.1935483870967742
/record_752,1460,17,1.1643835616438356
/record_753,3260,43,1.3190184049079754
/record_754,2467,0,0.0
/record_755,3539,0,0.0
/record_756,890,16,1.7977528089887642
/record_757,860,5,0.5813953488372093
/record_758,2830,29,1.0247349823321554
/record_759,2092,33,1.577437858508604
/record_76,4020,138,3.4328358208955225
/record_760,2089,0,0.0
/record_761,2238,31,1.3851653261840928
/record_762,2431,4,0.16454134101192924
/record_763,1757,5,0.28457598178713717
/record_764,1579,17,1.0766307789740341
/record_765,1788,7,0.39149888143176736
/record_766,2313,61,2.637267617812365
/record_767,3089,18,0.5827128520556815
/record_768,3273,15,0.458295142071494
/record_769,896,2,0.2232142857142857
/record_77,2625,10,0.38095238095238093
/record_770,1844,1,0.05422993492407809
/record_771,1337,6,0.44876589379207177
/record_772,1078,65,6.029684601113173
/record_773,2145,5,0.2331002331002331
/record_774,2635,16,0.6072106261859582
/record_775,1978,7,0.3538928210313448
/record_776,2339,43,1.838392475416845
/record_777,3010,34,1.1295681063122924
/record_778,3112,93,2.988431876606684
/record_779,1701,1,0.058788947677836566
/record_78,2122,20,0.9425070688030159
/record_780,1863,2,0.10735373054213634
/record_781,956,0,0.0
/record_782,3975,44,1.1069182389937107
/record_783,3702,0,0.0
/record_784,4227,45,1.0645848119233499
/record_785,3151,2,0.06347191367819739
/record_786,665,0,0.0
/record_787,2019,5,0.24764735017335313
/record_788,1765,0,0.0
/record_789,1792,5,0.27901785714285715
/record_79,2159,68,3.149606299212598
/record_790,2024,123,6.0770750988142295
/record_791,1952,5,0.25614754098360654
/record_792,1936,0,0.0
/record_793,1747,2,0.11448196908986834
/record_794,1968,9,0.45731707317073167
/record_795,2679,0,0.0
/record_796,3327,0,0.0
/record_797,2229,5,0.22431583669807087
/record_798,1790,33,1.8435754189944136
/record_799,1744,2,0.11467889908256881
/record_80,952,29,3.046218487394958
/record_800,1376,14,1.0174418604651163
/record_801,2448,11,0.44934640522875813
/record_802,1854,0,0.0
/record_803,1676,18,1.0739856801909307
