vol,N1_moy,ALT_moy,TAT_moy,M_moy,Q_moy
603,105.55613251017895,18278.24261727966,-9.029464553586411,0.42765528198680736,9236.945822201445
604,108.76922257896874,21311.46361064119,-11.877611884618378,0.4463291225039459,9306.299962581772
605,108.05674368667488,22064.210237961965,-16.79928609247371,0.46370212166684543,9152.891381274138
606,95.06342722777842,4670.356591669905,-2.98066103899311,0.2324919658996063,9421.450190132882
607,104.63759944616015,20776.233429630873,-16.824187679368737,0.44594595376503016,8541.590627120433
608,104.79627141898955,18482.058678903755,-11.305198406615672,0.4505148541623134,9238.563654022597
609,106.00487099266398,22775.816596682784,-18.077779719072474,0.4768195222698267,8537.403060884835
610,107.79435787344208,19722.982195098604,-10.446885093359413,0.4598201996130807,9676.225368073898
611,104.47525018098209,21530.951279935853,-16.79966873003162,0.47521161875841667,8517.009727302238
612,104.80432599761421,23128.959584237517,-17.570825272866042,0.4898993647346417,8336.503014039352
613,105.70450152733078,23228.928923243097,-18.711346482891507,0.4834003104879932,8470.677776609153
614,107.42376097007467,23204.820907909056,-19.770641044137,0.4792904548690592,8898.768232768627
615,101.55305432493209,16499.44118479854,-3.308786441856991,0.41482693993061437,8634.072168689601
616,105.82990437471001,20540.083248007904,-17.10621660303956,0.4484567421741758,9027.571754577968
617,106.97072508184473,21642.412208514947,-18.28417770342478,0.47342908549612833,9190.018590605
618,108.44452483961827,25803.999576671828,-17.42795836098913,0.5093473433478262,8561.555853004344
619,107.1455342116002,22573.022728696433,-16.59988455369512,0.4780011001646342,8909.234114127026
620,107.86489108115414,22630.265489082252,-5.763615539401632,0.48527315174660024,9060.429769692759
621,106.1648086356084,23605.582207723706,-19.61475425796969,0.4883382480280717,8447.749434417738
622,109.56547872299095,23938.678200707018,-12.65401816786139,0.46774682291445563,8917.875631732568
623,103.97975160558953,19338.534100051722,-17.049233757064428,0.4570096284763216,8952.726455706897
624,101.86730370581081,17835.15472778179,-8.228624133317846,0.44098367636283176,8479.344352513715
625,102.17164957932577,19313.41584647443,-11.889683175240632,0.44032122208138175,8384.181880239345
626,107.06137544293746,19497.365080995914,-5.927426998256783,0.45380954046362515,9406.231932894421
627,106.84836508176984,23758.61741996291,-15.259974162424417,0.49091743160465123,8534.577492334649
628,106.6586894600587,23602.590715097722,-16.064609199041627,0.49229407554625115,8618.915888911417
629,104.46997499426998,21781.214083237242,-12.852536651528089,0.47471842405617976,8368.277183184704
630,107.83427845151033,24209.800707860122,-18.476792131131404,0.49534462647580635,8754.170435186588
631,106.12145416047265,18999.661680380996,-10.77038996958578,0.4277091884594594,9211.391481618453
632,107.93171391389707,20046.61844573462,-15.673599308175925,0.4238566638666667,9429.590074167763
