vol,duree_montee_s,altitude_debut_ft,altitude_fin_ft,effort_total_lb
436,1924,106.642732604,38247.647880452,3305.7386809350437
437,2811,-37.093124384,35929.327606451996,4850.8580168822855
438,956,0.0,34547.608723148,2464.3678988394813
439,1729,-4.636640548,35933.964246999996,3317.78625195718
440,1685,-64.912967672,37093.124384,3433.4361945430683
441,4161,194.738903016,39411.444658,6661.998696310234
442,2379,190.102262468,40565.968154452,4167.534133431935
443,3297,120.552654248,37102.397665095996,5531.761795914945
444,3975,153.009138084,41729.764932,6348.299731337667
445,3439,625.94647398,40570.604795,5770.395403772658
446,3530,0.0,41739.038213096,5794.111464319381
447,2939,927.3281096,38256.921161548,4817.066812534011
448,2074,74.186248768,39416.081298548,3736.4859780177944
449,2136,143.735856988,40575.241435548,3411.76597064979
450,3475,46.36640548,41734.401572548,5723.658867141381
451,3182,820.685376996,40547.42159226,5101.008481665565
452,1341,69.54960822,35933.964246999996,2828.7398308512156
453,2564,106.642732604,40575.241435548,4130.031540707647
454,1374,-9.273281096,35929.327606451996,2681.0496794057353
455,1355,653.766317268,28974.366784452,2554.181331359018
456,2489,92.73281096,39411.444658,4045.540893787042
457,2099,153.009138084,39406.808017452,3854.290066256427
458,2630,241.105308496,38252.284521,4481.21986063792
459,1809,69.54960822,35915.417684808,3225.391454954327
461,1977,-4.636640548,38256.921161548,3702.581650936918
462,2170,51.003046028,39425.354579644,3785.580040533833
463,2218,324.56483836,40570.604795,4147.216568596579
464,1747,-27.819843288,38252.284521,3479.323107246502
465,3258,245.741949044,39411.444658,5383.13055960888
466,3660,333.838119456,40570.604795,5825.685944481982
467,3767,125.189294796,39406.808017452,5772.4364266928005
468,5083,343.111400552,41734.401572548,7492.442303809753
469,4340,421.934289868,40561.331513904,6783.284317159699
470,3416,199.375543564,40565.968154452,5540.390412859178
471,1157,37.093124384,33606.370691904,2579.5773848282165
472,894,18.546562192,34774.80411,2246.038618050541
473,1688,74.186248768,37088.487743452,3219.403170726362
474,3768,268.925151784,40570.604795,6045.813154659301
475,1318,-13.909921644,35933.964246999996,2666.7252125316477
476,3079,176.19234082399998,39411.444658,4966.739018666682
477,3187,380.204524936,38256.921161548,4776.257185031096
478,1461,-37.093124384,31297.323699,2567.5911889056833
479,1023,-13.909921644,32451.847195452,2352.967279326129
480,225,143.735856988,8893.076571064,654.9421119004489
481,109,32.456483836,4210.069617584,368.9233168489855
482,1452,222.558746304,41729.764932,3000.4721732746443
483,1865,259.651870688,40565.968154452,3507.910665895075
484,2160,74.186248768,39420.717939096,3886.8561754792872
485,3474,315.291557264,40570.604795,5683.793934799029
486,2197,88.09617041199999,35929.327606451996,3827.13098296529
487,2077,259.651870688,40561.331513904,3853.8833057923903
488,3589,139.09921644,39406.808017452,5784.774025146395
489,3848,125.189294796,41715.855010356,5633.2473282590445
490,2001,120.552654248,38261.557802096,3702.6153470700333
491,2965,204.012184112,39411.444658,5013.949708028225
492,2153,-13.909921644,40561.331513904,3900.170961793233
493,2627,139.09921644,39402.171376904,4524.526612291362
494,1140,-41.729764932,38256.921161548,2686.7635808354735
495,2181,74.186248768,39411.444658,3937.424443819131
496,4003,153.009138084,39406.808017452,6158.409986898256
497,2740,166.919059728,38238.374599356,4635.887518504971
498,3168,83.459529864,39411.444658,5198.1279579045495
499,4626,227.19538685199998,41729.764932,6854.812783730746
500,4974,37.093124384,40584.514716644,7348.7463475717905
501,2552,-23.18320274,38252.284521,4357.151901939769
502,2440,23.18320274,39416.081298548,4323.665166222861
503,3234,-46.36640548,40570.604795,5340.377387285193
504,3321,180.828981372,39402.171376904,5500.456884817268
505,3768,-27.819843288,40570.604795,6132.349638233351
506,3381,64.912967672,37102.397665095996,5388.497872240858
507,4167,245.741949044,41725.128291452,6466.001527743629
508,1276,-18.546562192,40561.331513904,2441.0658193567488
509,1787,60.276327124,41734.401572548,3228.8284605321132
510,1823,-9.273281096,40565.968154452,3209.5217796902252
511,2905,64.912967672,38252.284521,4890.673608458291
512,3381,125.189294796,39406.808017452,5465.116861779003
513,1448,-4.636640548,34774.80411,2937.5061348149266
514,1958,-64.912967672,34774.80411,3467.7857919544012
515,1778,-18.546562192,35924.690965904,3231.1185941506455
516,3601,153.009138084,40565.968154452,5932.406411792249
517,3680,217.922105756,39411.444658,5861.610836116467
518,3498,969.057874532,40556.694873356,5250.822692930651
519,3563,129.825935344,38224.464677712,5959.566698516712
520,4089,468.300695348,41725.128291452,6421.40469556519
521,3779,-27.819843288,40570.604795,6146.234851943611
522,3362,64.912967672,37088.487743452,5365.645876821884
523,841,-18.546562192,32104.099154352,2242.069694942859
524,3804,1015.4242800119999,42837.922022972,6253.838639314835
525,875,-41.729764932,31635.798459004,2239.929990490021
526,2797,111.279373152,42898.198350096,4604.479112141296
527,6515,264.288511236,11698.244102604,8735.255578077462
528,2618,129.825935344,38256.921161548,4623.4139320855875
529,3398,268.925151784,41725.128291452,5664.990289087224
530,3609,-9.273281096,37097.761024548,5658.986360226027
531,1226,55.639686576,40570.604795,2855.8579974092845
532,2645,13.909921644,39323.348487588,4193.069785166897
533,3408,106.642732604,40570.604795,5450.822480738054
534,1261,-55.639686576,32456.483836,2576.3654212823085
535,1137,635.219755076,31301.960339548,2408.710310965862
536,2967,97.369451508,39411.444658,4984.057627654751
537,3253,-41.729764932,40570.604795,5425.508260734992
538,3436,111.279373152,39406.808017452,5737.767919450196
539,2980,74.186248768,38247.647880452,5074.416215470765
540,2460,561.033506308,41734.401572548,4603.583757747083
541,2265,166.919059728,39411.444658,4174.018232190027
542,3159,64.912967672,40565.968154452,5319.685554685591
543,2535,55.639686576,39416.081298548,4391.850495015513
544,2296,241.105308496,40561.331513904,4108.008710849979
545,2218,125.189294796,39406.808017452,4006.53400940581
546,568,-27.819843288,31918.633532432,1567.7847992007555
547,1276,-18.546562192,40561.331513904,2441.0658193567488
548,1793,0.0,38252.284521,3504.5579006500766
549,2082,60.276327124,39406.808017452,3707.8526889028512
550,3634,176.19234082399998,40570.604795,5819.41003968921
551,2872,157.645778632,41734.401572548,5177.020940807631
552,3569,83.459529864,39406.808017452,5704.415968265749
553,1804,-9.273281096,39411.444658,3605.8015428957397
554,1285,727.952566036,40477.87198404,2741.519797148251
555,2254,97.369451508,38252.284521,3924.9881638328397
556,2629,171.555700276,41729.764932,4497.767068864308
557,3004,-23.18320274,40565.968154452,5011.535620777161
558,4292,171.555700276,39411.444658,6840.118862825711
559,2356,143.735856988,38247.647880452,4233.011737242086
560,1917,166.919059728,41706.58172926,3711.731354511117
561,3651,255.01523014,41711.218369808,5917.962805018931
562,2171,60.276327124,37093.124384,3905.81747095674
563,4192,1001.514358368,40565.968154452,6736.662106694352
564,2760,-46.36640548,38247.647880452,4663.477430926658
565,2457,60.276327124,37093.124384,3969.7980037099005
566,1709,139.09921644,38252.284521,3369.077783725683
567,2862,106.642732604,39411.444658,4590.932063195518
569,1439,839.231939188,38256.921161548,2982.4543695244265
570,4658,-41.729764932,39406.808017452,6788.061947462154
571,2338,333.838119456,39406.808017452,4436.69403102569
572,2066,0.0,41729.764932,3776.8539454902298
573,2215,287.471713976,35933.964246999996,4211.956467778166
574,1786,83.459529864,40570.604795,3406.0544760867033
575,2959,153.009138084,38247.647880452,4933.036868384497
576,2427,83.459529864,39397.534736356,3895.0996937593427
577,2523,213.285465208,38252.284521,4229.122240733891
578,2732,199.375543564,39406.808017452,4563.7862176709605
579,3213,153.009138084,38243.011239904,5236.521091289748
580,3297,264.288511236,39416.081298548,5381.523976119263
581,1207,120.552654248,38247.647880452,2739.2994626626014
582,2065,60.276327124,37093.124384,3737.563050844167
583,2747,236.468667948,40570.604795,4740.222780963986
584,1807,310.654916716,40556.694873356,3717.690756339268
585,3093,143.735856988,39402.171376904,5167.011985838986
586,107,4.636640548,3797.408608812,353.5049290819677
587,1197,41.729764932,34774.80411,2507.328061695163
588,2706,4.636640548,38243.011239904,4555.659432423485
589,2768,157.645778632,39416.081298548,4659.060830621869
590,3849,231.8320274,39416.081298548,6141.3308611419725
591,3249,162.28241918,40565.968154452,5402.976378580616
592,1686,264.288511236,38247.647880452,3290.6728991324135
593,2019,199.375543564,39411.444658,3767.13862825302
594,2056,153.009138084,39406.808017452,3708.9851196621985
595,3700,278.19843288,40565.968154452,5845.9036243513165
596,2075,115.9160137,38247.647880452,3486.437805067187
597,2065,78.822889316,41734.401572548,3843.7311422580037
598,3261,523.940381924,40575.241435548,4965.235930443062
599,2754,162.28241918,40561.331513904,4443.393544349057
600,5818,120.552654248,39406.808017452,8881.756737397292
601,2312,208.64882466,38243.011239904,4129.304666979011
602,1269,97.369451508,39416.081298548,2751.4794113505486
603,1951,102.006092056,38252.284521,3639.2196829130917
604,2720,32.456483836,37097.761024548,4489.828019215619
605,3530,106.642732604,39411.444658,5625.619967841672
606,4063,-41.729764932,38247.647880452,6527.730436744676
