vol,duree_s,alt_debut_ft,alt_fin_ft,TAS_moy_ms,Vz_moy_ms,gamma_moy_deg,rho_moy,D_moy_N,F_moy_N,E_meca_GJ,conso_kg,eta,rend_Jkg,TSFC,delta_atmo_K
72,3015,32.456483836,39406.808017452,177.50276104600877,3.9959150751363848,1.7902175612421312,0.3913995080035079,302.3923470274088,43264.098177521366,5.02752237377256,2219.577628416089,0.05243242283409793,2265080.6664330307,3.3731176235616615e-05,11.579882494422593
73,807,97.369451508,36175.069555496,143.78774966926053,13.63028591111136,6.073344605975054,0.6905917849765252,-47.06488913911181,42363.282240556,4.410849421989983,985.608503701931,0.10359386662746965,4475255.038306689,3.2486768928804174e-05,5.17653195908174
74,711,-41.729764932,25492.249732903998,131.63158958443256,10.97419721261777,5.552645855574836,0.7904726686821547,287.8410734872972,41238.840805748725,3.1636256928919857,836.2179915066971,0.08757534155944434,3783254.7553679957,3.839934828569763e-05,8.45947795333021
75,2157,162.28241918,38247.647880452,169.2722566713992,5.408881973369035,2.416890207389244,0.4385102808543353,-266.3103993830919,45271.701226245284,4.742962272329324,1664.2949309036196,0.06596835170395327,2849832.793610781,3.161575322354206e-05,10.594104953140492
76,2524,282.835073428,40556.694873356,172.59574534088952,4.863659662090018,2.091905343531443,0.4227620078537581,321.95598736438853,36598.913025274516,5.0833971162604605,2004.805919146964,0.058694574082829326,2535605.600378227,3.768316597174701e-05,4.6120516657475275
77,2476,120.552654248,41729.764932,172.1896517236385,5.131935377063983,2.2120059952757085,0.40557778245302756,433.36460331382,35365.690144599736,5.220541207281106,1971.126230874645,0.06130802755642517,2648506.7904375675,4.179619359000927e-05,8.655712166549081
78,2961,74.186248768,38270.831083192,169.1047717638274,3.9435011898501466,1.7422979093362796,0.41579642436248954,-192.8389736674724,39290.756640646476,4.824480725350423,2145.8770054329893,0.05204296158892051,2248255.940641366,3.573858107551752e-05,10.325152962602328
79,1186,27.819843288,35929.327606451996,159.44251635524117,9.274112336878531,4.1665497862960414,0.5761141005802237,86.49346884926706,40453.28385598864,4.510034192314564,1212.4932781380803,0.08610269559368405,3719636.449647151,3.641641790903863e-05,7.827528224355248
80,2747,148.372497536,41720.491650904,172.02625527818586,4.598449950368977,1.9354767519737759,0.4146089088181412,1001.2617592642182,32428.67083055804,5.266302141877483,2248.6819275044572,0.05421182101480123,2341950.667839413,4.574848059508517e-05,9.690094858942945
81,1143,41.729764932,34765.530828904,156.48121982839598,9.215573942613094,4.152625872575841,0.5858176212073625,803.4253594653406,42628.52759284219,4.319263287195004,1153.4650076339392,0.08668051982603157,3744598.456484564,3.230119901246588e-05,10.447844566166978
82,2024,102.006092056,40565.968154452,171.77632841970544,6.091170717920934,2.669388993788898,0.4601224345294411,-287.3409875262331,32794.57558523633,5.02987595911312,1827.6093681111506,0.06370743983912329,2752161.401050126,4.5992570629728944e-05,11.551434489615797
83,2469,194.738903016,39406.808017452,172.46442365739688,4.860460837992663,2.0816985759797397,0.4223085047190077,-155.40263962779096,38614.70413930666,4.866971076850295,1928.0772761129726,0.05843197724253535,2524261.416877527,3.438715456410652e-05,12.800424342705329
84,2096,171.555700276,35910.78104426,166.28572798009526,5.214727215899997,2.3975844258292933,0.48697563573359026,213.81764644775805,39502.11369702207,4.503008123006185,1760.6552962867577,0.0592031270195235,2557575.0872434154,3.5937800109188876e-05,10.393128350118376
85,2001,18.546562192,37093.124384,160.79257996396643,5.657746502406499,2.5002667983510287,0.5019253475942146,839.6089869370271,34449.504928143215,4.667724902464231,1706.284802371092,0.06332423954482558,2735607.148336465,3.873128544616339e-05,13.544436181732564
86,2167,-27.819843288,35929.327606451996,169.78748440107773,5.094010298479772,2.2746391572387044,0.5011715255147572,484.11220270145225,37112.94807876926,4.667699603211093,1854.8907251538506,0.058250656203599704,2516428.3479955075,3.785510626971247e-05,10.726145798735661
87,2865,148.372497536,34770.167469452,179.1839694588043,3.688143659166154,1.6498458988377804,0.4459644272899227,1012.1843817844942,44739.36394407073,4.6161787235852225,2319.901935684405,0.046060562874764815,1989816.31618984,3.2063637633666436e-05,15.145351840869651
88,839,199.375543564,35535.213159872,145.5000925729388,12.864012381650236,5.723442780318207,0.6696470577995831,719.0617679322002,40624.969549507754,4.392594859194386,1026.665339224486,0.09903951430972835,4278507.018180265,3.520859317084986e-05,10.17548905384337
89,2793,217.922105756,35933.964246999996,172.94848055455057,3.898054999534266,1.7632791976296418,0.4528452965339709,-792.2212680820907,41364.33102952971,4.4568864077507815,2144.2158565504446,0.04811486983967081,2078562.3770737788,3.391577585467003e-05,6.615968054252435
